ball,batsman,bowler,runs,extras,total_runs,wicket
0.1,Fakhar Zaman,Naseem Shah,0,0,0,
0.2,Fakhar Zaman,Naseem Shah,0,0,0,
0.3,Fakhar Zaman,Naseem Shah,1,0,1,
0.4,Muhammad Naeem,Naseem Shah,0,0,0,
0.5,Muhammad Naeem,Naseem Shah,0,0,0,
0.6,Muhammad Naeem,Naseem Shah,0,0,0,
1.1,Fakhar Zaman,RP Meredith,0,1,1,
1.2,Muhammad Naeem,RP Meredith,1,0,1,
1.3,Fakhar Zaman,RP Meredith,0,0,0,
1.4,Fakhar Zaman,RP Meredith,0,1,1,
1.5,Fakhar Zaman,RP Meredith,0,0,0,"{'player_out': 'Fakhar Zaman', 'fielders': ['Azam Khan'], 'kind': 'caught'}"
1.6,Abdullah Shafique,RP Meredith,1,0,1,
1.7,Muhammad Naeem,RP Meredith,0,0,0,
2.1,Abdullah Shafique,Naseem Shah,2,0,2,
2.2,Abdullah Shafique,Naseem Shah,4,0,4,
2.3,Abdullah Shafique,Naseem Shah,0,0,0,
2.4,Abdullah Shafique,Naseem Shah,4,0,4,
2.5,Abdullah Shafique,Naseem Shah,1,0,1,
2.6,Muhammad Naeem,Naseem Shah,6,0,6,
3.1,Abdullah Shafique,RP Meredith,0,0,0,
3.2,Abdullah Shafique,RP Meredith,4,0,4,
3.3,Abdullah Shafique,RP Meredith,1,0,1,
3.4,Muhammad Naeem,RP Meredith,0,1,1,
3.5,Abdullah Shafique,RP Meredith,1,0,1,
3.6,Muhammad Naeem,RP Meredith,1,0,1,
4.1,Muhammad Naeem,JO Holder,0,0,0,
4.2,Muhammad Naeem,JO Holder,0,0,0,
4.3,Muhammad Naeem,JO Holder,0,0,0,"{'player_out': 'Muhammad Naeem', 'fielders': ['Azam Khan'], 'kind': 'caught'}"
4.4,DJ Mitchell,JO Holder,1,0,1,
4.5,Abdullah Shafique,JO Holder,1,0,1,
4.6,DJ Mitchell,JO Holder,0,0,0,
5.1,Abdullah Shafique,Imad Wasim,0,0,0,
5.2,Abdullah Shafique,Imad Wasim,1,0,1,
5.3,DJ Mitchell,Imad Wasim,1,0,1,
5.4,Abdullah Shafique,Imad Wasim,1,0,1,
5.5,DJ Mitchell,Imad Wasim,0,0,0,
5.6,DJ Mitchell,Imad Wasim,1,0,1,
6.1,DJ Mitchell,JO Holder,0,0,0,
6.2,DJ Mitchell,JO Holder,0,0,0,
6.3,DJ Mitchell,JO Holder,4,0,4,
6.4,DJ Mitchell,JO Holder,0,0,0,
6.5,DJ Mitchell,JO Holder,1,0,1,
6.6,Abdullah Shafique,JO Holder,4,0,4,
7.1,DJ Mitchell,Imad Wasim,4,0,4,
7.2,DJ Mitchell,Imad Wasim,0,0,0,
7.3,DJ Mitchell,Imad Wasim,1,0,1,
7.4,Abdullah Shafique,Imad Wasim,1,0,1,
7.5,DJ Mitchell,Imad Wasim,0,0,0,"{'player_out': 'DJ Mitchell', 'fielders': ['Shadab Khan'], 'kind': 'caught'}"
7.6,SW Billings,Imad Wasim,0,0,0,
8.1,Abdullah Shafique,Shadab Khan,6,0,6,
8.2,Abdullah Shafique,Shadab Khan,0,0,0,
