ball,batsman,bowler,runs,extras,total_runs,wicket
0.1,Sahibzada Farhan,Shaheen Shah Afridi,0,0,0,
0.2,Sahibzada Farhan,Shaheen Shah Afridi,0,0,0,
0.3,Sahibzada Farhan,Shaheen Shah Afridi,0,1,1,
0.4,Sahibzada Farhan,Shaheen Shah Afridi,0,0,0,
0.5,Sahibzada Farhan,Shaheen Shah Afridi,1,0,1,
0.6,AGS Gous,Shaheen Shah Afridi,0,1,1,
0.7,AGS Gous,Shaheen Shah Afridi,0,0,0,
0.8,AGS Gous,Shaheen Shah Afridi,4,0,4,
1.1,Sahibzada Farhan,Asif Afridi,1,0,1,
1.2,AGS Gous,Asif Afridi,0,0,0,
1.3,AGS Gous,Asif Afridi,0,0,0,
1.4,AGS Gous,Asif Afridi,0,0,0,
1.5,AGS Gous,Asif Afridi,0,0,0,"{'player_out': 'AGS Gous', 'kind': 'bowled'}"
1.6,C Munro,Asif Afridi,0,0,0,
2.1,Sahibzada Farhan,Shaheen Shah Afridi,0,0,0,
2.2,Sahibzada Farhan,Shaheen Shah Afridi,1,0,1,
2.3,C Munro,Shaheen Shah Afridi,4,0,4,
2.4,C Munro,Shaheen Shah Afridi,0,0,0,
2.5,C Munro,Shaheen Shah Afridi,0,0,0,
2.6,C Munro,Shaheen Shah Afridi,4,0,4,
3.1,Sahibzada Farhan,Asif Afridi,1,0,1,
3.2,C Munro,Asif Afridi,1,0,1,
3.3,Sahibzada Farhan,Asif Afridi,0,0,0,
3.4,Sahibzada Farhan,Asif Afridi,0,0,0,
3.5,Sahibzada Farhan,Asif Afridi,0,0,0,
3.6,Sahibzada Farhan,Asif Afridi,0,0,0,
4.1,C Munro,Jahandad Khan,4,0,4,
4.2,C Munro,Jahandad Khan,1,0,1,
4.3,Sahibzada Farhan,Jahandad Khan,0,0,0,
4.4,Sahibzada Farhan,Jahandad Khan,0,1,1,
4.5,C Munro,Jahandad Khan,1,0,1,
4.6,Sahibzada Farhan,Jahandad Khan,6,0,6,
5.1,C Munro,Asif Afridi,0,0,0,
5.2,C Munro,Asif Afridi,0,0,0,
5.3,C Munro,Asif Afridi,4,0,4,
5.4,C Munro,Asif Afridi,1,0,1,
5.5,Sahibzada Farhan,Asif Afridi,0,0,0,
5.6,Sahibzada Farhan,Asif Afridi,0,0,0,
6.1,C Munro,Haris Rauf,4,0,4,
6.2,C Munro,Haris Rauf,1,0,1,
6.3,Sahibzada Farhan,Haris Rauf,0,0,0,
6.4,Sahibzada Farhan,Haris Rauf,0,1,1,
6.5,Sahibzada Farhan,Haris Rauf,1,0,1,
6.6,C Munro,Haris Rauf,1,0,1,
6.7,Sahibzada Farhan,Haris Rauf,6,0,6,
7.1,C Munro,Sikandar Raza,1,0,1,
7.2,Sahibzada Farhan,Sikandar Raza,6,0,6,
7.3,Sahibzada Farhan,Sikandar Raza,1,0,1,
7.4,C Munro,Sikandar Raza,1,0,1,
7.5,Sahibzada Farhan,Sikandar Raza,1,0,1,
7.6,C Munro,Sikandar Raza,1,0,1,
8.1,C Munro,Haris Rauf,1,0,1,
8.2,Sahibzada Farhan,Haris Rauf,0,0,0,"{'player_out': 'Sahibzada Farhan', 'fielders': ['Sikandar Raza'], 'kind': 'caught'}"
8.3,Agha Salman,Haris Rauf,2,0,2,
8.4,Agha Salman,Haris Rauf,0,0,0,
8.5,Agha Salman,Haris Rauf,0,0,0,
8.6,Agha Salman,Haris Rauf,0,0,0,
9.1,C Munro,Jahandad Khan,0,0,0,
9.2,C Munro,Jahandad Khan,1,0,1,
9.3,Agha Salman,Jahandad Khan,0,0,0,
9.4,Agha Salman,Jahandad Khan,1,0,1,
9.5,C Munro,Jahandad Khan,2,0,2,
9.6,C Munro,Jahandad Khan,0,0,0,
10.1,Agha Salman,Sikandar Raza,2,0,2,
10.2,Agha Salman,Sikandar Raza,0,1,1,
10.3,C Munro,Sikandar Raza,1,0,1,
10.4,Agha Salman,Sikandar Raza,0,0,0,
10.5,Agha Salman,Sikandar Raza,0,0,0,
10.6,Agha Salman,Sikandar Raza,1,0,1,
11.1,Agha Salman,D Wiese,6,0,6,
11.2,Agha Salman,D Wiese,0,5,5,
11.3,Agha Salman,D Wiese,2,0,2,
11.4,Agha Salman,D Wiese,0,1,1,
11.5,Agha Salman,D Wiese,1,0,1,
11.6,C Munro,D Wiese,1,0,1,
11.7,Agha Salman,D Wiese,0,0,0,
11.8,Agha Salman,D Wiese,1,0,1,
12.1,Agha Salman,Haris Rauf,4,0,4,
12.2,Agha Salman,Haris Rauf,2,0,2,
12.3,Agha Salman,Haris Rauf,2,0,2,
12.4,Agha Salman,Haris Rauf,0,0,0,
12.5,Agha Salman,Haris Rauf,0,1,1,
12.6,Agha Salman,Haris Rauf,1,0,1,
12.7,C Munro,Haris Rauf,0,0,0,
13.1,Agha Salman,Asif Afridi,0,0,0,
13.2,Agha Salman,Asif Afridi,2,0,2,
13.3,Agha Salman,Asif Afridi,1,0,1,
13.4,C Munro,Asif Afridi,1,0,1,
13.5,Agha Salman,Asif Afridi,1,0,1,
13.6,C Munro,Asif Afridi,2,0,2,
14.1,Agha Salman,Shaheen Shah Afridi,1,0,1,
14.2,C Munro,Shaheen Shah Afridi,4,0,4,
14.3,C Munro,Shaheen Shah Afridi,0,1,1,
14.4,C Munro,Shaheen Shah Afridi,1,0,1,
14.5,Agha Salman,Shaheen Shah Afridi,0,0,0,
14.6,Agha Salman,Shaheen Shah Afridi,1,0,1,
14.7,C Munro,Shaheen Shah Afridi,1,0,1,
15.1,C Munro,Haris Rauf,1,0,1,
15.2,Agha Salman,Haris Rauf,0,0,0,
15.3,Agha Salman,Haris Rauf,1,0,1,
15.4,C Munro,Haris Rauf,4,0,4,
15.5,C Munro,Haris Rauf,1,0,1,
15.6,Agha Salman,Haris Rauf,0,0,0,
16.1,C Munro,Shaheen Shah Afridi,0,0,0,
16.2,C Munro,Shaheen Shah Afridi,1,0,1,
16.3,Agha Salman,Shaheen Shah Afridi,4,0,4,
16.4,Agha Salman,Shaheen Shah Afridi,1,0,1,
16.5,C Munro,Shaheen Shah Afridi,6,0,6,
16.6,C Munro,Shaheen Shah Afridi,1,0,1,
17.1,C Munro,Jahandad Khan,0,0,0,
17.2,C Munro,Jahandad Khan,0,0,0,
17.3,C Munro,Jahandad Khan,1,0,1,
17.4,Agha Salman,Jahandad Khan,0,1,1,
17.5,Agha Salman,Jahandad Khan,4,0,4,
